Artists	Album	Title	Genre
Salsa Celtica - Salsa Celtica	El Agua de la Vida	Cumbia Celtica	Salsa and Tropical
Sam & Dave	The Best of Sam & Dave		R&B/Soul
Sam Cooke		Bring It on Home to Me	soul
Sandra Nkaké	Mansaadi		R&B/Soul
Sanseverino	Les sénégalaises		French Pop
Sarah Vaughan	Sarah Vaughan		Jazz
Sayaka Shoji - Sayaka Shoji & ジャンルカ・カシオーリ	Beethoven: Violin Sonata Nos. 2 & 9	Sonata for Violin and Piano No.2 in A, Op.12 No.2: Allegro Vivace	Classical
Scott Tixier - Scott Tixier	Brooklyn Bazaar	Keep In Touch	Jazz
Seasick Steve	Man from Another Time		Blues
Sex Pistols	Never Mind the Bollocks, Here's the Sex Pistols		Rock
Shaka Ponk	The Geeks and the Jerkin' Socks		Rock
Sharon Jones & The Dap-Kings	Soul of a Woman		R&B/Soul
Shawn Lee	Soul in the Hole		Soul
Shed Seven	Change Giver		Rock
Sheryl Crow	Tuesday Night Music Club		Pop
Shigeo Sekito	Special Sound Series Vol. 2	The World II	jazz
Shooter Jennings	Family Man		Country
Silver	Silver		Rock
Silver	Silver	Wham Bam Shang-A-Lang	rock
Simple Minds - Simple Minds	New Gold Dream (81–82–83–84) [Remastered]	Big Sleep (Remastered 2002)	Rock
Slim Moore and the Mar-Kays	Introducing Slim Moore and the Mar-Kays		R&B/Soul
Sly & The Family Stone	The Essential Sly & The Family Stone		R&B/Soul
Smashing Pumpkins	Mellon Collie and the Infinite Sadness (Remastered)		Alternative
Solomon Burke	The Platinum Collection		Rock
Songhoy Blues - Songhoy Blues	Re-Covered - Single	Should I Stay or Should I Go?	Alternative
Sonny Boy Williamson	Blues & Rhythm Series - Classics: The Chronological - Sonny Boy Williamson - 1953-1956		Blues
Sonny James	The Rock & Roll Side of Sonny		Rock & Roll
Soviet Suprem	L'Internationale (Edition Bonus)		French Pop
Spanish Harlem Orchestra - Spanish Harlem Orchestra	Un Gran Dia en el Barrio	Mama Guela	Latino
Steely Dan	The Very Best of Steely Dan		Pop
Stefano di Battista & Flavio Boltro	Volare		Jazz
Stevie Wonder	Songs in the Key of Life		R&B/Soul
Stomp Gordon	Blues & Rhythm Series Classics: The Chronological - Stomp Gordon - 1952-1956		Blues
Stéphane Grappelli	Soft Winds		Jazz
Suede	Suede (Remastered) [Deluxe Edition]		Alternative
Sugar	Copper Blue		Alternative
Sunao Wada Quintet + 1	Four scenes	Sunset on the Street	jazz
Supertramp	Supertramp		Rock
